"ensembl_gene_id" "gene_name"
"ENSG00000169714" "CNBP"
"ENSG00000183317" "EPHA10"
"ENSG00000261175" "LINC02188"
"ENSG00000260026" "LINC02189"
"ENSG00000140836" "ZFHX3"
"ENSG00000140262" "TCF12"
"ENSG00000111249" "CUX2"
"ENSG00000167281" "RBFOX3"
"ENSG00000134376" "CRB1"
"ENSG00000258555" "SPECC1L-ADORA2A"
"ENSG00000128271" "ADORA2A"
"ENSG00000114554" "PLXNA1"
"ENSG00000177106" "EPS8L2"
"ENSG00000177030" "DEAF1"
"ENSG00000131149" "GSE1"
"ENSG00000022567" "SLC45A4"
"ENSG00000254197" ""
"ENSG00000174032" "SLC25A30"
"ENSG00000251015" "SLC25A30-AS1"
"ENSG00000088256" "GNA11"
"ENSG00000099864" "PALM"
"ENSG00000273046" ""
"ENSG00000198353" "HOXC4"
"ENSG00000273049" ""
"ENSG00000207571" "MIR615"
"ENSG00000172789" "HOXC5"
"ENSG00000249526" ""
"ENSG00000140961" "OSGIN1"
"ENSG00000122574" "WIPF3"
"ENSG00000182580" "EPHB3"
"ENSG00000087258" "GNAO1"
"ENSG00000261439" "GNAO1-AS1"
"ENSG00000225313" ""
"ENSG00000169813" "HNRNPF"
"ENSG00000103066" "PLA2G15"
"ENSG00000260441" ""
"ENSG00000122585" "NPY"
"ENSG00000104635" "SLC39A14"
"ENSG00000197813" ""
"ENSG00000104894" "CD37"
"ENSG00000136535" "TBR1"
"ENSG00000112232" "KHDRBS2"
"ENSG00000188242" "PP7080"
"ENSG00000066230" "SLC9A3"
"ENSG00000225138" "SLC9A3-AS1"
"ENSG00000196776" "CD47"
"ENSG00000130844" "ZNF331"
"ENSG00000177200" "CHD9"
"ENSG00000049239" "H6PD"
"ENSG00000168490" "PHYHIP"
"ENSG00000113504" "SLC12A7"
"ENSG00000260537" ""
"ENSG00000261777" "DDX19A-DT"
"ENSG00000168872" "DDX19A"
"ENSG00000166579" "NDEL1"
"ENSG00000075407" "ZNF37A"
"ENSG00000283930" "PLD5P1"
"ENSG00000152779" "SLC16A12"
"ENSG00000005001" "PRSS22"
"ENSG00000263325" ""
"ENSG00000166033" "HTRA1"
"ENSG00000163807" "KIAA1143"
"ENSG00000163808" "KIF15"
"ENSG00000115677" "HDLBP"
"ENSG00000078304" "PPP2R5C"
"ENSG00000111046" "MYF6"
"ENSG00000167632" "TRAPPC9"
"ENSG00000282164" "PEG13"
"ENSG00000168397" "ATG4B"
"ENSG00000175893" "ZDHHC21"
"ENSG00000151229" "SLC2A13"
"ENSG00000170776" "AKAP13"
"ENSG00000185046" "ANKS1B"
"ENSG00000261241" "LINC02128"
"ENSG00000260042" ""
"ENSG00000248919" "ATP5MF-PTCD1"
"ENSG00000106246" "PTCD1"
"ENSG00000160917" "CPSF4"
"ENSG00000170525" "PFKFB3"
"ENSG00000080546" "SESN1"
"ENSG00000183137" "CEP57L1"
"ENSG00000152430" "BOLL"
"ENSG00000110871" "COQ5"
"ENSG00000177469" "CAVIN1"
"ENSG00000054793" "ATP9A"
"ENSG00000197971" "MBP"
"ENSG00000167751" "KLK2"
"ENSG00000144278" "GALNT13"
"ENSG00000131398" "KCNC3"
"ENSG00000131408" "NR1H2"
"ENSG00000153815" "CMIP"
"ENSG00000150967" "ABCB9"
"ENSG00000111325" "OGFOD2"
"ENSG00000256028" ""
"ENSG00000058404" "CAMK2B"
"ENSG00000132510" "KDM6B"
"ENSG00000109956" "B3GAT1"
"ENSG00000166595" "CIAO2B"
"ENSG00000172831" "CES2"
"ENSG00000146426" "TIAM2"
"ENSG00000157060" "SHCBP1L"
"ENSG00000188191" "PRKAR1B"
"ENSG00000081059" "TCF7"
"ENSG00000197177" "ADGRA1"
"ENSG00000160796" "NBEAL2"
"ENSG00000160799" "CCDC12"
"ENSG00000102858" "MGRN1"
"ENSG00000151079" "KCNA6"
"ENSG00000130035" "GALNT8"
"ENSG00000256988" ""
"ENSG00000184838" "PRR16"
"ENSG00000138617" "PARP16"
"ENSG00000206903" "SNORA24B"
"ENSG00000187634" "SAMD11"
