seqnames,start
16,53434200
6,25282551
3,129183534
12,123601930
15,59493107
8,48978050
1,166989202
1,43365370
10,79068945
1,200042658
2,104843805
2,102797583
10,68230831
19,39307841
8,143038982
18,70205825
16,30355114
10,28672636
8,119416178
3,52836527
1,1333413
16,31426462
1,169427468
1,57423035
4,1713277
3,14125250
6,145836231
1,151347036
12,113463405
1,10697379
3,149792328
1,12540503
17,50835182
17,64506954
19,39407375
1,16677772
1,34163574
21,43982583
12,76329175
6,127118061
16,30698245
6,169751536
14,66507721
10,123149391
12,52069532
2,26503697
1,160366909
4,147714565
1,154154986
7,23597411
4,1767162
13,29428492
8,66430365
14,105315029
4,164955893
19,2945108
14,24052225
1,205211499
1,179742956
14,68795977
16,50025100
1,156845982
5,175772912
6,27862613
1,206909555
3,43105288
10,84328205
8,1010721
18,11980954
19,50517943
19,2269147
11,61516393
12,15911635
1,50416410
14,56119310
2,117814816
2,43838432
2,201866169
16,88663072
10,97498885
8,144509136
6,10722913
1,90717432
4,83456247
4,89111831
16,11345170
1,9199007
2,218873592
8,63168442
19,46347175
16,49277992
2,218217292
1,227734811
17,75915176
14,61321627
11,4368626
6,33898539
7,101087239
1,37766308
17,62065231
12,122774361
2,71453591
9,137174318
2,9218448
2,85354382
17,7854651
8,10525561
19,2329228
11,124839979
1,43568382
5,132737755
18,158348
10,96043288
16,35795626
12,54107048
12,89919812
4,121380852
5,171388179
1,41017751
16,1655990
16,31488158
6,28281474
15,70377209
17,40219495
19,18110163
22,30267327
7,153886233
8,27430522
2,30422089
1,26161246
10,132787344
1,230977673
2,109613330
13,29850795
19,40597201
4,122922639
19,40529117
15,58987504
12,109716424
18,50729776
9,113011458
7,108385123
2,68319767
12,78864303
7,143052445
1,8154903
16,88758162
21,43789349
14,92513682
17,4967912
12,27523769
8,66613614
2,218983651
17,77088567
1,244048664
15,43106383
19,51927667
9,135908478
16,68260087
20,43457239
12,132808698
2,27628964
11,69775519
19,15401739
13,26253740
4,54230449
17,57861387
1,44406791
19,44164915
8,64577382
10,124389129
16,86722026
15,74938253
16,29199963
7,102301272
11,67071720
17,35731604
6,53349210
5,80256651
16,73062943
2,9424119
19,17791433
2,144389783
8,42502474
1,17250960
1,37439093
17,80009357
13,41457145
21,32728128
3,191861469
16,30053285
17,81082383
6,43891004
6,35496759
1,200147608
1,32889184
16,30922835
2,120606401
17,44220783
18,24397744
2,3321387
18,5543802
7,42700887
1,156299257
15,57218377
1,222465302
6,125791260
19,52527458
15,26883486
12,6767155
2,130916602
13,102799294
16,58734507
3,138916019
5,159773472
3,147396619
7,75638964
17,45150086
12,111293399
12,51847257
12,57547174
19,35279238
16,31489118
8,144427966
7,8262464
5,141304205
3,38039213
12,97491575
1,145927588
17,7854615
12,31370063
6,2842021
3,195954529
16,81096607
1,108692297
2,27891377
19,10543964
19,7535531
8,97278144
17,74776373
6,122786446
19,7846309
3,49339936
4,164383321
7,133082372
1,2372825
1,98661890
4,169030963
9,35116378
12,15789627
10,133205340
6,42050490
9,71911350
11,3841701
2,63841825
6,61574394
1,155308933
1,229432330
19,14091519
14,97978196
7,2661933
1,31066032
6,167824714
2,176128289
10,133394852
12,45728572
19,55408468
11,33015118
2,203328655
4,74934002
13,112946018
6,26271490
1,39680988
16,3979217
12,122981269
2,233475673
1,150279663
17,34361859
10,101007750
2,219572172
2,218857813
16,66925499
19,14163227
16,89576205
6,116877265
17,61454383
12,47216588
3,138760443
10,102775519
17,44013098
2,1647358
16,4273540
8,22156986
16,2297503
17,19716954
16,24701201
7,27740973
15,40930078
4,165207242
12,54030895
1,153990631
6,163972133
9,135521407
19,13933384
6,168517917
10,129838835
1,1355332
19,2328392
16,1959156
15,83011779
19,49325372
5,65103156
18,3879131
15,78661340
6,152381195
2,47521700
1,7961902
3,14946432
17,38872397
17,42678148
2,222424558
17,73192286
11,69819472
1,235650834
7,157082166
20,25082118
2,105438696
6,75085351
12,2877182
6,93419171
12,120581800
19,34497846
1,184037799
8,47736524
16,66366508
19,408683
8,58658878
1,42923972
21,36060322
22,42512790
5,167754757
10,132408714
1,202348958
20,63319409
16,21520182
15,101295419
12,75330077
13,97125436
11,108008705
4,188657688
18,15000435
22,50578470
16,86343447
22,44915621
17,79778643
5,141402800
17,44899476
6,27838693
16,49283169
1,231337795
5,472449
18,62186962
13,33676848
17,45132736
9,70411727
13,99655932
1,149890583
5,56480518
2,11105281
5,181052829
16,81710276
1,2970253
17,66302947
18,63970207
2,25302008
5,161847689
5,73228366
2,232524191
10,94761329
3,194141421
10,93702404
3,41199496
19,11597722
12,11269963
2,84908699
19,18226297
17,63600941
17,7651509
13,42049345
7,6826441
2,203238962
5,140349126
13,113044700
3,9810668
16,88651179
13,40773470
5,136192855
2,174337669
21,41952970
16,4359747
9,5339677
10,28722072
20,54475935
13,78596295
2,62195849
9,136334280
2,130727577
8,9933840
1,161422017
12,117968228
3,37860738
12,53452083
1,167094721
1,6284302
3,48594525
8,11867983
6,47782306
7,127588894
1,178543006
10,123009010
17,58331333
1,237784135
1,112955571
17,81886147
10,101588222
12,48971682
22,39686168
4,183987865
1,161099377
12,3492996
6,36959052
5,151924796
22,30592161
1,8283515
17,69609357
10,2498719
17,50200725
11,31815689
3,134651132
1,1419855
3,197749658
1,44674768
2,17931454
12,67535020
1,214606314
12,55927843
4,186265799
19,14530171
14,49621542
17,75937760
17,8408518
17,7407995
17,39462429
17,44384892
1,23019851
12,57693761
6,126340182
3,39407461
17,41397803
2,227871537
15,51093773
12,113291686
12,20368153
2,96508289
1,3436422
16,85715890
2,64649872
18,3450344
16,3264045
10,101229841
1,229434310
16,88110364
5,127229050
17,7280897
1,27635526
1,112619483
8,143869570
1,18632774
12,48818692
1,115838683
3,48918726
1,52633680
17,80498359
7,99466286
15,40569592
1,26500186
1,160415846
1,101997034
1,43168849
8,546527
5,159331345
12,48528197
12,45051587
1,26894400
1,241640065
3,15425180
2,230995231
3,34067649
5,68225313
3,184168886
3,132035287
13,94710717
5,123511986
1,40317041
5,150701203
4,74932753
1,33307135
1,5991580
14,22981318
1,44417555
9,130433207
16,1632445
2,91478500
4,173508223
7,137847210
10,68956202
6,34056702
6,44255108
1,172659123
4,10019258
4,2261911
5,53110015
17,7262512
16,5072084
1,38476210
7,2241694
10,124419167
6,122610270
2,222312289
1,115976702
1,154272812
8,8702917
5,175478340
17,28381207
2,218659792
4,185019441
13,30465969
7,1708974
20,462108
7,127251567
5,172284558
2,44789832
1,110480292
3,138834328
15,58548397
10,61410614
22,46624836
8,130402228
5,151699348
9,114397695
11,46381399
12,53185279
1,1629042
16,1550968
8,48513972
5,135399242
1,228037958
12,131808784
5,140112950
12,6607391
19,1439986
2,186490592
22,42857515
11,86244647
20,62937504
17,61413252
3,45688689
4,183571617
2,86842023
14,69259114
19,36121820
1,227972503
1,45500007
17,50123869
6,140079000
2,221573116
1,6330733
12,3077740
5,180389766
1,93449308
1,1161890
3,171810783
3,52482300
2,61536602
1,32336532
4,153789644
3,43996992
2,199468016
20,46032281
22,50528963
10,75405535
6,101392453
10,30115688
2,174340116
11,65647719
2,197516021
12,32679986
6,110400102
1,157155734
16,86532374
19,35490469
8,143841024
16,50549362
12,108702428
4,10017385
13,36370334
5,195161
16,30709818
5,126600424
2,68655223
11,36376843
2,8583776
7,85183223
17,28473802
1,211548758
1,182839119
19,3908138
13,112994568
19,51032092
10,102869365
16,88715751
10,125159649
4,75673735
5,7869180
7,74628171
1,17059797
2,130181903
1,33625341
7,22727210
16,510280
16,3950985
1,6465491
17,37609659
1,90719611
6,112347320
10,119005886
12,51923565
17,38749556
2,115162373
2,97996089
5,135033426
3,160755905
1,156500172
13,51804169
3,158098541
11,57499708
12,62191423
6,170498008
1,66534001
5,159913423
1,155950972
8,11704858
8,100106320
15,27714849
12,107761502
1,225999575
1,2327626
14,65102658
15,66503007
16,27313916
3,43622202
3,69542939
19,57410714
6,41408866
3,195725038
1,98045475
1,182633851
12,118136952
15,97960573
9,98709867
4,142405388
2,80303766
12,51394501
13,49496414
16,85947704
1,35706678
9,137218917
8,30095962
4,105896535
22,50583009
4,25376816
1,16939072
13,25096392
2,176098200
7,130733722
12,91381597
17,79183917
