"","seqnames","start","end","width","strand","feature.ranges.start","feature.ranges.end","feature.ranges.width","feature.strand","distance","insideFeature","distanceToSite","ensembl_gene_id","gene_name"
"1","16",53434200,53434200,1,"*",53433977,53491648,57672,"+",0,"inside",0,"ENSG00000103479","RBL2"
"2","10",79068945,79068945,1,"*",78943328,79067895,124568,"-",1049,"upstream",1049,"ENSG00000224596","ZMIZ1-AS1"
"3","10",79068945,79068945,1,"*",79068966,79316519,247554,"+",20,"upstream",20,"ENSG00000108175","ZMIZ1"
"4","3",52836527,52836527,1,"*",52833121,52897562,64442,"-",0,"inside",0,"ENSG00000248592","STIMATE-MUSTN1"
"5","3",52836527,52836527,1,"*",52813282,52835729,22448,"-",797,"upstream",797,"ENSG00000243696",""
"6","3",52836527,52836527,1,"*",52836219,52897548,61330,"-",0,"inside",0,"ENSG00000213533","STIMATE"
"7","1",1333413,1333413,1,"*",1331280,1335314,4035,"+",0,"inside",0,"ENSG00000169962","TAS1R3"
"8","1",57423035,57423035,1,"*",56994778,58546734,1551957,"-",0,"inside",0,"ENSG00000173406","DAB1"
"9","3",14125250,14125250,1,"*",14112077,14124870,12794,"-",379,"upstream",379,"ENSG00000163528","CHCHD4"
"10","3",14125250,14125250,1,"*",14125015,14143680,18666,"+",0,"inside",0,"ENSG00000170876","TMEM43"
"11","6",145836231,145836231,1,"*",145799409,145887430,88022,"+",0,"inside",0,"ENSG00000235652","FBXO30-DT"
"12","16",30698245,30698245,1,"*",30698209,30741409,43201,"+",0,"inside",0,"ENSG00000080603","SRCAP"
"13","16",30698245,30698245,1,"*",30697707,30699058,1352,"-",0,"inside",0,"ENSG00000261840",""
"14","1",160366909,160366909,1,"*",160367071,160372846,5776,"+",161,"upstream",161,"ENSG00000171786","NHLH1"
"15","4",164955893,164955893,1,"*",164954446,164977668,23223,"-",0,"inside",0,"ENSG00000183439","TRIM61"
"16","4",164955893,164955893,1,"*",164956948,164959122,2175,"+",1054,"upstream",1054,"ENSG00000250486","FAM218A"
"17","2",201866169,201866169,1,"*",201790461,201895550,105090,"+",0,"inside",0,"ENSG00000138395","CDK15"
"18","16",49277992,49277992,1,"*",49277917,49281838,3922,"-",0,"inside",0,"ENSG00000102924","CBLN1"
"19","6",28281474,28281474,1,"*",28267121,28281580,14460,"+",0,"inside",0,"ENSG00000276302",""
"20","6",28281474,28281474,1,"*",28281572,28302549,20978,"+",97,"upstream",97,"ENSG00000137338","PGBD1"
"21","22",30267327,30267327,1,"*",30262829,30266851,4023,"-",475,"upstream",475,"ENSG00000099985","OSM"
"22","7",153886233,153886233,1,"*",153887097,154894285,1007189,"+",863,"upstream",863,"ENSG00000130226","DPP6"
"23","1",26161246,26161246,1,"*",26159079,26163962,4884,"+",0,"inside",0,"ENSG00000197245","FAM110D"
"24","12",109716424,109716424,1,"*",109713825,109770495,56671,"+",0,"inside",0,"ENSG00000139438","FAM222A"
"25","18",50729776,50729776,1,"*",50560087,50731826,171740,"+",0,"inside",0,"ENSG00000141639","MAPK4"
"26","1",244048664,244048664,1,"*",244048939,244057476,8538,"+",274,"upstream",274,"ENSG00000179456","ZBTB18"
"27","15",43106383,43106383,1,"*",42942897,43106113,163217,"-",269,"upstream",269,"ENSG00000159459","UBR1"
"28","15",43106383,43106383,1,"*",43106225,43185779,79555,"-",0,"inside",0,"ENSG00000285080",""
