,seqnames,start,Composite Element REF,End,Feature name,end,width,strand,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,ensembl_gene_id,gene_name,class
0,15,72228291,cg24327132,72228292,f140606,72228291,1,*,72199029,72231822,32794,-,0,inside,0,ENSG00000067225,PKM,0
1,16,8712899,cg00220102,8712900,f1510,8712899,1,*,8674596,8784575,109980,+,0,inside,0,ENSG00000183044,ABAT,0
2,22,38872200,cg14498989,38872201,f88543,38872200,1,*,38861422,38872249,10828,-,0,inside,0,ENSG00000183741,CBX6,0
3,1,203488022,cg13371976,203488023,f80999,203488022,1,*,203475806,203491352,15547,+,0,inside,0,ENSG00000188783,PRELP,0
4,12,99155172,cg14195216,99155173,f86547,99155172,1,*,98726457,99984654,1258198,-,0,inside,0,ENSG00000185046,ANKS1B,0
5,1,42658307,cg07503931,42658308,f47872,42658307,1,*,42658335,42676758,18424,+,27,upstream,27,ENSG00000171960,PPIH,0
6,17,79950783,cg07618085,79950784,f48625,79950783,1,*,79932343,80035872,103530,-,0,inside,0,ENSG00000167291,TBC1D16,0
7,1,203075598,cg14640592,203075599,f89514,203075598,1,*,203026498,203078740,52243,+,0,inside,0,ENSG00000143847,PPFIA4,0
8,19,13013401,cg15054077,13013402,f91784,13013401,1,*,12995475,13098796,103322,+,0,inside,0,ENSG00000008441,NFIX,0
9,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140786136,141012347,226212,+,0,inside,0,ENSG00000204970,PCDHA1,0
10,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140794852,141012347,217496,+,0,inside,0,ENSG00000204969,PCDHA2,0
11,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140801028,141012347,211320,+,0,inside,0,ENSG00000255408,PCDHA3,0
12,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140806929,141012347,205419,+,0,inside,0,ENSG00000204967,PCDHA4,0
13,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140821604,141012347,190744,+,0,inside,0,ENSG00000204965,PCDHA5,0
14,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140827958,141012347,184390,+,0,inside,0,ENSG00000081842,PCDHA6,0
15,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140834248,141012347,178100,+,0,inside,0,ENSG00000204963,PCDHA7,0
16,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140841187,141012347,171161,+,0,inside,0,ENSG00000204962,PCDHA8,0
17,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140847772,141012347,164576,+,0,inside,0,ENSG00000204961,PCDHA9,0
18,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140855883,141012347,156465,+,0,inside,0,ENSG00000250120,PCDHA10,0
19,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140868183,141012347,144165,+,0,inside,0,ENSG00000249158,PCDHA11,0
20,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140875302,141012347,137046,+,0,inside,0,ENSG00000251664,PCDHA12,0
21,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140882124,141012347,130224,+,0,inside,0,ENSG00000239389,PCDHA13,0
22,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140966212,140966490,279,-,0,inside,0,ENSG00000279028,,0
23,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140966470,141012347,45878,+,88,upstream,88,ENSG00000243232,PCDHAC2,0
24,5,140966381,cg04454086,140966382,f29084,140966381,1,*,140926299,141012347,86049,+,0,inside,0,ENSG00000248383,PCDHAC1,0
25,5,139278718,cg05585556,139278719,f36152,139278718,1,*,138946724,139293557,346834,-,0,inside,0,ENSG00000120725,SIL1,0
26,5,139278718,cg05585556,139278719,f36152,139278718,1,*,139273752,139331671,57920,+,0,inside,0,ENSG00000280987,MATR3,0
27,5,139278718,cg05585556,139278719,f36152,139278718,1,*,139274102,139284899,10798,+,0,inside,0,ENSG00000281398,SNHG4,0
28,5,139278718,cg05585556,139278719,f36152,139278718,1,*,139278781,139278978,198,+,62,upstream,62,ENSG00000200959,SNORA74A,0
29,17,57473252,cg08677210,57473253,f55053,57473252,1,*,57255851,57684689,428839,+,0,inside,0,ENSG00000153944,MSI2,0
30,12,132283234,cg00524706,132283235,f3606,132283234,1,*,132196372,132329589,133218,-,0,inside,0,ENSG00000182870,GALNT9,0
31,12,132283234,cg00524706,132283235,f3606,132283234,1,*,132282814,132284606,1793,+,0,inside,0,ENSG00000277011,,0
32,7,6577288,cg10501074,6577289,f65423,6577288,1,*,6577434,6589374,11941,+,145,upstream,145,ENSG00000136247,ZDHHC4,0
33,6,1788296,cg02783314,1788297,f18431,1788296,1,*,1623806,2245605,621800,-,0,inside,0,ENSG00000112699,GMDS,0
34,6,42971291,cg11171825,42971292,f69158,42971291,1,*,42963865,42979181,15317,-,0,inside,0,ENSG00000124587,PEX6,0
35,17,28720662,cg20824457,28720663,f122767,28720662,1,*,28719985,28724359,4375,+,0,inside,0,ENSG00000198242,RPL23A,0
36,16,2980446,cg00319761,2980447,f2164,2980446,1,*,2968024,2980479,12456,-,0,inside,0,ENSG00000127564,PKMYT1,0
37,11,19240577,cg07085895,19240578,f45334,19240577,1,*,19196775,19281426,84652,+,0,inside,0,ENSG00000255308,CSRP3-AS1,0
38,11,19240577,cg07085895,19240578,f45334,19240577,1,*,19224063,19241620,17558,-,0,inside,0,ENSG00000129173,E2F8,0
39,3,58165528,cg05116002,58165529,f33263,58165528,1,*,58162547,58170636,8090,-,0,inside,0,ENSG00000244161,FLNB-AS1,0
40,3,58165528,cg05116002,58165529,f33263,58165528,1,*,58008398,58172251,163854,+,0,inside,0,ENSG00000136068,FLNB,0
41,1,155177543,cg01425293,155177544,f9523,155177543,1,*,155169409,155187272,17864,-,0,inside,0,ENSG00000273088,,0
