,seqnames,start,Composite Element REF,End,c
140606,15,72228291,cg24327132,72228292,0
1510,16,8712899,cg00220102,8712900,0
9875,2,118839839,cg01471264,118839840,0
88543,22,38872200,cg14498989,38872201,0
151347,20,63123517,cg26347851,63123518,0
80999,1,203488022,cg13371976,203488023,0
86547,12,99155172,cg14195216,99155173,0
47872,1,42658307,cg07503931,42658308,0
48625,17,79950783,cg07618085,79950784,0
89514,1,203075598,cg14640592,203075599,0
91784,19,13013401,cg15054077,13013402,0
91679,3,153138984,cg15034393,153138985,0
29084,5,140966381,cg04454086,140966382,0
36152,5,139278718,cg05585556,139278719,0
41375,13,34157076,cg06475541,34157077,0
55053,17,57473252,cg08677210,57473253,0
3606,12,132283234,cg00524706,132283235,0
65423,7,6577288,cg10501074,6577289,0
18431,6,1788296,cg02783314,1788297,0
69158,6,42971291,cg11171825,42971292,0
122767,17,28720662,cg20824457,28720663,0
2164,16,2980446,cg00319761,2980447,0
45334,11,19240577,cg07085895,19240578,0
33263,3,58165528,cg05116002,58165529,0
9523,1,155177543,cg01425293,155177544,0
155358,5,169706962,cg27063969,169706963,0
25526,16,30012294,cg03890691,30012295,0
104503,12,49265019,cg17359076,49265020,0
81955,10,77926531,cg13511098,77926532,0
157449,2,240561925,cg27449114,240561926,0
58616,17,40093099,cg09304381,40093100,0
126906,12,50057612,cg21669272,50057613,0
18531,16,2595869,cg02801007,2595870,0
112207,1,44776406,cg18806997,44776407,0
82076,4,105474226,cg13529269,105474227,0
43973,2,71560697,cg06875255,71560698,0
96787,8,119211626,cg15999099,119211627,0
49924,22,38794377,cg07837516,38794378,0
3344,3,108091869,cg00492070,108091870,0
34714,1,19338690,cg05348366,19338691,0
48104,11,34266678,cg07541559,34266679,0
107103,17,48620338,cg17873048,48620339,0
30646,11,130813805,cg04697265,130813806,0
48755,19,8139596,cg07638689,8139597,0
86577,1,97138626,cg14200127,97138627,0
44351,5,172683576,cg06933824,172683577,0
19339,15,59191971,cg02920604,59191972,0
93158,5,132658036,cg15329179,132658037,0
135654,12,130160878,cg23381749,130160879,0
85882,5,151804151,cg14094444,151804152,0
94214,5,112329851,cg15536663,112329852,0
144268,17,81466023,cg24997744,81466024,0
21442,11,65184563,cg03241909,65184564,0
429,12,3492996,cg00059053,3492997,0
6689,18,77120159,cg00989538,77120160,0
69786,7,13989065,cg11279021,13989066,0
29434,3,184320529,cg04509882,184320530,0
154190,10,124589933,cg26852645,124589934,0
38635,2,95274283,cg05989861,95274284,0
85022,17,75897128,cg13966383,75897129,0
84589,5,124651974,cg13904970,124651975,0
103129,1,243474664,cg17110767,243474665,0
8274,5,167283841,cg01227558,167283842,0
10882,1,25875728,cg01625783,25875729,0
9341,15,62845481,cg01400900,62845482,0
108116,18,2916740,cg18061327,2916741,0
87702,4,112379612,cg14369455,112379613,0
41500,11,1006303,cg06494775,1006304,0
125386,7,116526770,cg21367972,116526771,0
92049,1,156661450,cg15101245,156661451,0
121593,16,482468,cg20610177,482469,0
60196,10,26642997,cg09571345,26642998,0
30907,1,205591869,cg04740665,205591870,0
104121,17,79950866,cg17295878,79950867,0
132374,11,111297869,cg22792449,111297870,0
86738,4,37978198,cg14217589,37978199,0
153983,8,26053382,cg26820845,26053383,0
47423,1,1308182,cg07425625,1308183,0
81576,10,3781566,cg13454226,3781567,0
329,6,93419171,cg00044245,93419172,0
3,12,123601930,cg00000769,123601931,0
138134,10,13729465,cg23873415,13729466,0
145466,15,72197075,cg25228169,72197076,0
10957,4,1209142,cg01638225,1209143,0
82767,8,37897642,cg13625816,37897643,0
89657,19,827739,cg14663914,827740,0
72442,14,20461454,cg11775391,20461455,0
145449,5,140842668,cg25225155,140842669,0
86310,22,41543977,cg14162929,41543978,0
59506,4,25843588,cg09461545,25843589,0
109285,3,50569206,cg18260343,50569207,0
70857,8,102968838,cg11486078,102968839,0
151642,20,19935118,cg26396492,19935119,0
1314,13,80336628,cg00185066,80336629,0
113711,14,55129240,cg19099850,55129241,0
155122,17,4331787,cg27019093,4331788,0
51867,13,111524083,cg08157459,111524084,0
112898,11,32587070,cg18931760,32587071,0
39216,1,212488675,cg06093152,212488676,0
16870,2,595312,cg02557922,595313,0
164,13,26253740,cg00022633,26253741,0
20621,4,1532584,cg03114584,1532585,0
18901,19,49876140,cg02859537,49876141,0
76843,12,57609595,cg12561125,57609596,0
10982,11,112241849,cg01643712,112241850,0
42213,1,31614686,cg06615464,31614687,0
157163,6,16374851,cg27395391,16374852,0
3521,19,5061194,cg00513611,5061195,0
99044,5,16465779,cg16398128,16465780,0
90391,7,53035883,cg14794023,53035884,0
3218,5,472430,cg00473462,472431,0
119276,1,230979114,cg20136738,230979115,0
157136,19,45553649,cg27391679,45553650,0
139684,11,19350467,cg24137774,19350468,0
144155,17,40093013,cg24975211,40093014,0
121539,21,34096401,cg20598634,34096402,0
10221,1,228650240,cg01525538,228650241,0
142582,3,147407995,cg24686610,147407996,0
148952,13,21671035,cg25926358,21671036,0
109780,7,159144415,cg18349835,159144416,0
91270,2,201257946,cg14962032,201257947,0
11814,1,42817514,cg01782487,42817515,0
12726,14,75469965,cg01919011,75469966,0
27272,11,65663397,cg04172043,65663398,0
52702,16,27426579,cg08282819,27426580,0
90337,6,36443439,cg14787123,36443440,0
12625,12,51421299,cg01904393,51421300,0
7356,17,79950470,cg01084215,79950471,0
39158,16,30947994,cg06084952,30947995,0
42859,22,38925606,cg06712541,38925607,0
23347,8,143944899,cg03537810,143944900,0
158064,17,82410642,cg27561875,82410643,0
61931,7,27144490,cg09880291,27144491,0
143726,3,44761799,cg24888989,44761800,0
72191,8,115494435,cg11730559,115494436,0
80291,12,28191233,cg13239976,28191234,0
57093,1,155295587,cg09037777,155295588,0
1158,1,214549609,cg00163510,214549610,0
1252,14,102930553,cg00176863,102930554,0
88945,2,10960906,cg14554519,10960907,0
111850,6,36441590,cg18748525,36441591,0
26388,16,89122975,cg04033022,89122976,0
104718,20,3669846,cg17401106,3669847,0
113633,15,75208684,cg19084059,75208685,0
4776,3,44761801,cg00702638,44761802,0
132355,17,1078403,cg22789318,1078404,0
35843,10,88347782,cg05529156,88347783,0
36180,17,259754,cg05590233,259755,0
149371,1,26112354,cg26002253,26112355,0
93379,13,80337557,cg15374435,80337558,0
101336,7,2803112,cg16765393,2803113,0
20440,4,185112224,cg03080336,185112225,0
60592,19,9363020,cg09643544,9363021,0
32285,19,2819674,cg04954144,2819675,0
114576,19,49108476,cg19281603,49108477,0
20884,16,24748319,cg03156546,24748320,0
15700,3,171809556,cg02371119,171809557,0
148123,2,201257864,cg25748441,201257865,0
97138,1,2082309,cg16059943,2082310,0
99363,11,76796164,cg16442814,76796165,0
83657,9,95093797,cg13763287,95093798,0
154608,10,18713139,cg26925980,18713140,0
1191,19,3097567,cg00168191,3097568,0
107571,8,133568800,cg17962854,133568801,0
154543,11,68413750,cg26915558,68413751,0
1916,6,157597152,cg00283857,157597153,0
72274,1,15214721,cg11741753,15214722,0
73427,6,4942249,cg11935248,4942250,0
128304,1,145979699,cg21961202,145979700,0
35172,3,187197514,cg05410198,187197515,0
0,16,53434200,cg00000029,53434201,0
139573,19,44813425,cg24122751,44813426,0
100795,5,172189570,cg16675054,172189571,0
6633,20,51750302,cg00981877,51750303,0
54428,17,20590190,cg08574564,20590191,0
101979,3,184598704,cg16893634,184598705,0
96778,8,21750742,cg15997512,21750743,0
155643,14,46651592,cg27117476,46651593,0
44962,1,204081252,cg07026666,204081253,0
157765,7,6589719,cg27508071,6589720,0
114567,3,196968061,cg19280206,196968062,0
2357,19,48466825,cg00347746,48466826,0
32482,16,2163439,cg04987122,2163440,0
73763,18,12404042,cg11993160,12404043,0
59087,3,111072553,cg09387687,111072554,0
1152,17,4513829,cg00163006,4513830,0
86032,9,131475765,cg14118171,131475766,0
13655,3,101783404,cg02059297,101783405,0
