,seqnames,start
4,15,59493107
10,2,104843805
21,16,31426462
39,6,127118061
64,1,206909555
69,19,50517943
71,11,61516393
77,2,201866169
82,1,90717432
84,4,89111831
90,16,49277992
95,11,4368626
96,6,33898539
97,7,101087239
103,2,9218448
105,17,7854651
137,15,58987504
138,12,109716424
171,16,86722026
180,2,9424119
199,18,24397744
229,17,7854615
230,12,31370063
241,19,7846309
262,6,167824714
325,20,25082118
329,6,93419171
365,13,99655932
435,10,2498719
443,12,67535020
448,14,49621542
453,17,44384892
508,14,22981318
560,19,1439986
576,1,6330733
640,5,135033426
737,17,55349296
795,16,4261798
895,5,136080723
900,4,110612361
936,8,141277165
983,7,106484722
1029,12,75511766
1041,1,44739742
1126,7,37448030
1136,6,113971367
1248,12,112978485
1252,14,102930553
1257,10,18145139
1282,17,81717745
1314,13,80336628
1324,10,133019965
1339,4,1002997
1345,2,241148889
1409,4,47031109
1423,16,28743389
1510,16,8712899
1573,2,65421516
1579,16,8712896
1639,10,110287108
1646,3,39106851
1738,19,4038853
1888,18,15197868
1916,6,157597152
2067,1,70221732
2164,16,2980446
2189,2,165469104
2239,22,37943965
2358,3,45036157
2436,2,27493956
2537,3,127018383
2650,8,142472075
2680,15,70099035
2699,21,41426667
2720,22,20131123
3029,10,127919542
3060,2,219566677
3099,22,19022906
3136,14,24367978
3218,5,472430
3239,6,37481000
3245,8,81035506
3282,16,400837
3385,10,117240725
3521,19,5061194
3542,20,32589473
3557,8,144791023
3606,12,132283234
3612,13,52851500
3690,22,42858075
3739,10,102056057
3770,8,86508951
3839,10,73647876
3850,9,137371123
3966,7,155812086
4231,11,61828933
4233,16,73058495
4236,22,35840602
4454,15,48536812
4691,1,226308564
4792,2,241268505
4995,3,74614645
5145,1,114511212
5157,4,184396284
5226,7,765577
5292,1,54474709
5320,1,10797053
5336,12,40103773
5431,7,5529504
5578,10,43371616
5594,1,145691388
5599,7,47392714
5616,1,31238241
5634,15,85413691
5828,17,64217305
5860,18,26547273
5971,19,53648345
6112,5,11903972
6414,16,62035413
6524,13,24161615
6543,7,27144822
6613,15,83111603
6633,20,51750302
6750,8,43291751
6808,3,195864127
6838,20,45971712
6840,16,85615143
6892,17,7042301
6999,16,81530587
7253,2,207124113
7267,2,219243125
7278,1,92961894
7284,7,75154118
7346,1,111476935
7534,6,11161425
7568,1,2530399
7756,6,158814179
7771,11,79439862
7828,15,84977086
7939,16,75483154
8060,15,65285857
8065,18,57439865
8085,1,922982
8126,4,186841102
8132,17,7294681
8274,5,167283841
8374,10,124093522
8438,19,17405661
8605,19,37075384
8631,8,141129740
8646,16,71289803
8712,19,1230989
8801,19,52493295
8976,4,44447554
8983,6,43644910
8996,6,52280735
9111,7,71132105
9213,3,52495048
9341,15,62845481
9376,19,46785006
9424,7,41692639
9432,9,133142368
9683,17,43399932
9722,17,76307926
9752,19,49325384
9773,17,50273499
9813,4,42399225
10175,17,80848606
10221,1,228650240
10269,19,17215623
10373,16,693584
10402,2,17878477
10633,16,86508001
10705,3,187746860
10718,9,109318568
10818,5,40908676
10824,5,3736702
10882,1,25875728
10982,11,112241849
11027,7,769411
11053,16,69937223
11373,1,200872998
11418,16,62036280
11445,2,20350444
11466,1,935677
11552,11,112260786
11603,22,41527369
11611,2,158969321
11876,4,26860560
12017,17,41624803
12210,13,97222279
12279,10,80408287
12340,11,118613842
12617,5,1088893
12625,12,51421299
12640,14,22598093
12701,5,113487673
12729,3,49133063
12752,16,46885044
13352,3,14655571
13476,16,70688551
13502,3,121894144
13608,16,11587626
13745,5,159442626
13872,8,59120235
13986,8,11996369
14135,14,94388697
14147,11,8942997
14243,8,142404675
14245,16,22027988
14373,11,46392919
14415,2,214810327
14416,7,71132788
14546,15,79896435
14578,2,30808889
14584,7,50793790
14597,11,108122040
14969,17,80940529
15213,16,54121565
15306,3,59575235
15348,9,134338061
15503,1,235104159
15584,4,76214033
15700,3,171809556
15753,5,212818
15841,15,74236224
15950,10,124044251
16051,19,18168705
16074,17,30921586
16245,10,61452738
16251,21,26967985
16492,9,136049103
16561,16,2082244
16579,5,10702234
16588,8,72248540
16647,12,132847700
16659,1,205449150
16728,7,76409891
16786,12,53676513
17127,2,153871795
17290,10,26946698
17520,11,107017666
17620,7,1094343
17637,2,172465667
17740,16,85099604
18265,7,101814367
18322,12,108598372
18327,6,169070727
18336,1,92837368
18431,6,1788296
18837,16,53054749
19006,10,69803102
19050,15,33194857
19140,16,28294212
19194,1,162021822
19512,3,9204817
19514,7,157764769
19537,17,49788496
19667,16,65071613
19668,2,236049310
19709,12,127060406
19788,8,73976833
19806,2,218607495
20012,17,50766763
20097,18,77249853
20380,17,53822754
20518,16,67174825
20573,2,96149012
20588,6,43626547
20679,2,10884770
20731,1,248906108
20884,16,24748319
20912,3,100401505
20924,11,75554150
21159,13,112620168
21214,10,132558343
21353,16,2226769
21415,4,24329089
21861,12,2794397
22026,19,40218475
22077,1,43007426
22265,3,14285181
22315,5,91381112
22346,2,217905514
22395,1,2922655
22402,16,49282286
22608,11,66568504
22660,1,6490798
23024,16,73048152
23057,17,47957817
23086,1,45522049
23125,3,49550812
23262,20,44957529
23359,10,363371
23376,8,23068740
23508,11,13358465
23654,19,2244197
23743,17,30364003
23766,3,190319906
23971,17,63930581
24290,18,68837152
24637,11,134037843
24755,3,185152620
24795,1,150272641
24901,16,19885771
24929,3,81761902
25231,4,4107714
25313,3,61918906
25370,13,57631544
25391,7,26864353
25495,14,100292550
25526,16,30012294
25575,8,8963748
25697,16,58392427
25724,4,6245902
25973,2,199468678
26161,7,151520494
26172,5,957396
26670,1,37957675
26774,2,235763073
27273,20,37345866
27441,21,42396977
27500,21,34795711
27519,2,152525109
27653,10,100745608
27748,1,32249882
27753,1,231629439
27883,20,34708925
27977,2,200306624
27987,19,3959671
28171,2,152505728
28454,2,120766062
28591,4,125317774
28593,2,79511456
28706,10,132781797
28747,11,70662075
29190,7,149717810
29259,6,137044988
29260,5,136080516
29434,3,184320529
29586,12,108609928
29635,16,65121238
29678,17,38677507
29848,14,21087444
29971,16,86289607
30041,16,1979854
30181,5,135536115
30223,20,63537456
30268,4,119627434
30271,17,7440620
30536,6,37644769
30660,12,45926327
30803,17,42402501
30854,10,74176581
30923,7,100866137
31130,7,27122675
31168,2,135531446
31170,14,20684576
31216,17,34579603
31353,6,105180125
31462,1,46551716
31541,7,136871030
31691,17,31008892
31736,17,44220991
31752,13,113455542
31786,14,67363837
31865,1,9039239
32171,11,64007941
32285,19,2819674
32332,14,20630556
32346,14,99480756
32478,8,96645066
32652,16,25111490
32972,15,59408161
33146,2,149451528
33220,4,151761747
33232,17,31314315
33360,10,51244548
33603,13,44815913
33734,8,134457309
34001,16,50547812
34043,6,160769694
34094,3,9902853
34713,11,119797456
34724,17,45092975
34770,8,85438339
34867,17,44221153
