gene,description
AAMP,High levels of AAMP levels were associated with breast cancer progression and metastasis
ABCA2,we demonstrate that ABCA2-deficiency inhibits prostate tumor metastasis in vivo and decreases chemotactic potential of cells
ABCB1,"COX-2 and P-glycoprotein are highly expressed in relapsed B-cell non-Hodgkin's lymphoma, and they may play a role in tumor metastasis."
ABCB1,"Increased expression of MDR-1 is associated with brain metastasis in epithelial ovarian, fallopian tube, and peritoneal cancer."
ABCB1,miR200c attenuates P-gp-mediated MDR and metastasis by targeting JNK2/c-Jun signaling pathway in colorectal cancer.
ABCC5,ABCC5 functions as a mediator of breast cancer skeletal metastasis. ABCC5 expression in breast cancer cells is important for efficient osteoclast-mediated bone resorption.
ABCG2,"ABCG2 correlated with Her-2 expression, lymph node metastasis and clinical stage in breast invasive ductal carcinoma"
ABCG2,Both ABCG2 and V-ATPase were over-expressed in esophageal squamous cancer cells and were associated with drug resistance and tumor metastasis.
ABCG2,"increased expression of ABCG2 in invasive ductal carcinoma cells and its statistically significant correlation with HER2 expression are strongly correlated with tumor progression, invasion, and metastasis in human breast cancer"
ABI1,Study implicates that the integrity of SOS1/EPS8/ABI1 tri-complex is a determinant of ovarian cancer metastasis.
ABI2,"TRIM32 is a novel oncogene that promotes tumor growth, metastasis, and resistance to anticancer drugs via degradation of Abl-interactor 2"
ABL1,"c-Abl and Arg not only promote in vitro processes important for melanoma progression, but also promote metastasis in vivo"
ABL2,"c-Abl and Arg not only promote in vitro processes important for melanoma progression, but also promote metastasis in vivo"
ACE,"The risk of prostate cancer development, the PSA level and tumor metastasis may be associated with genetic variation in the ACE insertion/deletion genotypes"
ACE,This is the first study indicating that ACE (I/D) polymorphism is associated with HER-2 expression and AT1R (A1166C) polymorphism is associated with tumor-node-metastasis stage in breast cancer patients.
ACE,The data suggest that the ACE gene polymorphisms may be associated with increased susceptibility to oral precancerous lesion and oral cancer and lymph node metastasis from oral cancer.
ACE2,ACE2 expression attenuates the metastasis of lung cancer in a mouse model.
ACKR1,"We showed that DARC expression is down-regulated in CRC and associated with clinical pathological features and MVD of CRC. DARC might be involved in tumorigenesis, progression, angiogenesis, and metastasis of CRC."
ACKR2,D6 plays a negative role in the growth and metastasis of breast cancer.
ACKR3,data demonstrate a role for CXCR7/RDC1 in PCa metastasis and progression and suggest potential targets for therapeutic intervention
ACKR3,"In patients with renal cell carcinoma, level of CXCR7 and CXCR4 expression in tumor tissue correlated with disease free survival and lymphatic metastasis; higher CXCR7 and CXCR4 expression predicts earlier relapse."
ACKR3,High expression of CXCR7 combined with Alpha fetoprotein in hepatocellular carcinoma correlates with extra-hepatic metastasis to lung after hepatectomy.
ACKR3,"CXCR4 and CXCR7 play different roles in metastasis, with CXCR4 mediating breast cancer invasion and CXCR7 impairing invasion but enhancing primary tumor growth through angiogenesis."
ACKR3,"the recombination of TLR4, MD-2 and CXCR7 strongly correlated with tumor size, lymph node metastasis and distant metastasis in colorectal carcinoma tissue samples"
ACKR3,CXCR7+ cells promote growth and metastasis of CXCR4+ breast cancer cells.
ACKR3,CXCR7 promotes bladder cancer (BCa) cell proliferation and motility plausibly through epidermal growth factor receptor receptor and Akt signaling; CXCR7 expression is elevated in BCa tissues and exfoliated cells and is associated with high-grade and metastasis
ACKR3,The expression of SDF-1 and CXCR7 were positively correlated with lymph node metastasis in papillary thyroid carcinoma.
ACKR3,"high expression of CXCR7 increases the risk of metastasis in post-resective hepatocellular carcinoma patients with relatively good differentiated tumors, potentially through upregulation of osteopontin."
ACKR3,Expression of the chemokine receptor CXCR7 in CXCR4-expressing human 143B osteosarcoma cells enhances lung metastasis of intratibial xenografts in SCID mice.
